,BD,SVA,MVA
0,0.55,0.313521954,205.5013534
1,0.555,0.310585195,205.843623
2,0.56,0.427261074,207.6378695
3,0.565,0.337706847,207.9994627
4,0.57,0.30615267,207.5702377
5,0.575,0.440041557,208.7602725
6,0.58,0.413337799,208.8132911
7,0.585,0.144973726,203.0560362
8,0.59,0.303246743,198.6929472
9,0.595,0.232428074,200.27859
10,0.6,0.298279856,197.2534449
11,0.605,0.22757246,198.4775349
12,0.61,0.13608144,187.3764653
13,0.615,0.053065045,190.2710847
14,0.62,0.2594986,179.9456982
15,0.625,0.250605365,181.8498572
16,0.63,0.290419506,175.0127526
17,0.635,0.207606101,173.7779669
18,0.64,0.205779296,174.4481673
19,0.645,0.329659711,168.7927954
20,0.65,0.200614593,174.8001418
21,0.655,0.240062067,169.1848221
22,0.66,0.196861064,172.1954743
23,0.665,0.228217301,167.5645302
24,0.67,0.224836177,168.5032021
25,0.675,0.271187246,163.6892998
26,0.68,0.271900681,163.9887379
27,0.685,0.368292422,158.1527173
28,0.69,0.299696678,156.5882945
29,0.695,0.29743609,157.7299462
30,0.7,0.286768278,158.614048
31,0.705,0.285420432,158.0017625
32,0.71,0.339021478,154.8975112
33,0.715,0.281114708,157.8034274
34,0.72,0.383381989,153.6134206
35,0.725,0.306345677,151.844209
36,0.73,0.345132526,149.26559
37,0.735,0.343778606,148.7674062
38,0.74,0.342507656,147.8349476
39,0.745,0.340339369,149.8332671
40,0.75,0.341314857,148.7716901
41,0.755,0.328585327,150.4213657
42,0.76,0.362217965,145.0995138
43,0.765,0.360523852,143.2873154
44,0.77,0.359466755,143.527857
45,0.775,0.346009823,145.469345
46,0.78,0.398120143,142.0565485
47,0.785,0.386719816,142.8807384
48,0.79,0.378094627,139.0637112
49,0.795,0.366807327,140.9723585
50,0.8,0.376268949,139.7353623
51,0.805,0.395481196,134.7246755
52,0.81,0.395303993,136.4034832
53,0.815,0.367831081,140.955423
54,0.82,0.393434788,135.8784663
55,0.825,0.39117946,135.6054658
56,0.83,0.380166978,134.810366
57,0.835,0.425410246,134.5428426
58,0.84,0.408046645,131.823109
59,0.845,0.398596686,133.7574975
60,0.85,0.406071646,131.1593691
61,0.855,0.394940669,131.6098912
62,0.86,0.422410408,127.4851535
63,0.865,0.421323767,129.8354212
64,0.87,0.410524786,127.6335365
65,0.875,0.407206032,127.3576869
66,0.88,0.406187517,127.1700579
67,0.885,0.408369204,128.9445766
68,0.89,0.423553614,123.6401901
69,0.895,0.432762194,125.774417
70,0.9,0.421268068,124.8154686
71,0.905,0.43055273,124.2174613
72,0.91,0.444987143,120.7576265
73,0.915,0.444951088,120.3048102
74,0.92,0.495788961,122.0910604
75,0.925,0.433065123,121.8321743
76,0.93,0.431269453,122.2693273
77,0.935,0.507274557,120.0453906
78,0.94,0.454928351,119.3779961
79,0.945,0.487321844,116.8571697
80,0.95,0.444217951,119.4506727
81,0.955,0.458590147,115.6491537
82,0.96,0.46656579,113.8157256
83,0.965,0.466324521,115.6627148
84,0.97,0.49607207,112.0156722
85,0.975,0.494968802,114.1343061
86,0.98,0.477714756,111.6653715
87,0.985,0.492354771,114.1448236
88,0.99,0.456864524,113.4768479
89,0.995,0.531531309,108.4267171
90,1,0.465692084,110.5949099
91,1.005,0.48645056,107.4742188
92,1.01,0.488160789,109.7040659
93,1.015,0.474953857,107.158025
94,1.02,0.543016417,105.5300904
95,1.025,0.476135222,107.6958572
96,1.03,0.51727295,105.9050096
97,1.035,0.485657221,106.8300692
98,1.04,0.485607988,106.8204892
99,1.045,0.482143737,104.5650472
100,1.05,0.482639895,104.3920132
101,1.055,0.482862715,104.421098
102,1.06,0.503074593,101.160937
103,1.065,0.522529114,101.5631742
104,1.07,0.517700612,104.8815585
105,1.075,0.500011752,100.6482842
106,1.08,0.520709634,102.7872515
107,1.085,0.500532134,98.86275274
108,1.09,0.499769802,101.5329333
109,1.095,0.510214515,96.76772552
110,1.1,0.527771839,99.85557259
111,1.105,0.506830003,100.6694699
112,1.11,0.508717546,95.07071199
113,1.115,0.536187941,96.42175168
114,1.12,0.532040924,98.62598365
115,1.125,0.532000679,95.87114255
116,1.13,0.565358576,96.29492311
117,1.135,0.504605268,100.2152962
118,1.14,0.523718936,95.63600304
119,1.145,0.537250237,93.73451713
120,1.15,0.52243932,91.73625719
121,1.155,0.548834483,93.51222811
122,1.16,0.572142753,93.16438723
123,1.165,0.585033199,89.33249005
124,1.17,0.519204629,91.05573177
125,1.175,0.543630357,94.14936397
126,1.18,0.529143559,90.3065816
127,1.185,0.536818503,90.03475982
128,1.19,0.580666495,90.90997613
129,1.195,0.525541273,89.63855642
130,1.2,0.534027672,87.09215599
131,1.205,0.542591386,86.34300138
132,1.21,0.541768817,86.10827865
133,1.215,0.559226134,85.53687548
134,1.22,0.581243477,83.68893211
135,1.225,0.540273977,87.02697828
136,1.23,0.58538139,85.56178507
137,1.235,0.537493032,81.63839893
138,1.24,0.584432448,85.11692552
139,1.245,0.563007785,83.35932317
140,1.25,0.543295156,83.36150128
141,1.255,0.554139176,81.63364481
142,1.26,0.574421376,79.36918163
143,1.265,0.595534942,80.21819144
144,1.27,0.581675666,83.60053543
145,1.275,0.573940121,78.81184577
146,1.28,0.599567986,81.56734702
147,1.285,0.606713618,77.33250513
148,1.29,0.573826032,79.66220304
149,1.295,0.554257103,80.28364658
150,1.3,0.584739,76.22931875
151,1.305,0.602107739,77.90812633
152,1.31,0.577248597,76.16371546
153,1.315,0.550571078,80.7041938
154,1.32,0.550866883,74.71157613
155,1.325,0.581325124,76.43473268
156,1.33,0.581391207,74.25001498
157,1.335,0.564346264,76.95088121
158,1.34,0.555405768,78.40688599
159,1.345,0.561890885,71.21220616
160,1.35,0.611293087,74.83165816
161,1.355,0.569345613,72.79688425
162,1.36,0.577695651,71.91893936
163,1.365,0.574827012,71.2738961
164,1.37,0.589160044,73.02026399
165,1.375,0.576103159,72.14318692
166,1.38,0.573024297,71.77747284
167,1.385,0.612631213,72.20706629
168,1.39,0.573388953,72.49758711
169,1.395,0.570903729,71.73185035
170,1.4,0.614225647,69.20633426
171,1.405,0.586214064,71.4723946
172,1.41,0.583635336,64.76344746
173,1.415,0.576719249,70.32358308
174,1.42,0.593418424,69.02929042
175,1.425,0.60991726,67.65882494
176,1.43,0.590516566,65.31337827
177,1.435,0.590710661,65.12075388
178,1.44,0.592382927,69.75034506
179,1.445,0.619683921,65.40831631
180,1.45,0.596592322,66.28300244
181,1.455,0.62620902,65.96784079
182,1.46,0.603191509,64.37204135
183,1.465,0.589350813,66.9895064
184,1.47,0.625068216,65.98433923
185,1.475,0.601947036,65.18124331
186,1.48,0.621969281,63.93018032
187,1.485,0.628509256,63.77613458
188,1.49,0.633579101,60.94464756
189,1.495,0.626983211,61.7382699
190,1.5,0.604844833,62.46354309
191,1.505,0.605711353,62.62979071
192,1.51,0.605827865,63.7321097
193,1.515,0.636688216,59.9870032
194,1.52,0.635247326,60.15588843
195,1.525,0.599849949,59.75535099
196,1.53,0.636279305,59.90152775
197,1.535,0.600501499,59.40343934
198,1.54,0.613058295,58.16162043
199,1.545,0.62784967,61.29856734
200,1.55,0.597575716,61.56770922
201,1.555,0.609264093,56.85669217
202,1.56,0.617458879,56.82637239
203,1.565,0.616371898,57.38988912
204,1.57,0.60322064,55.00852685
205,1.575,0.603706838,59.40555893
206,1.58,0.601523015,57.5301571
207,1.585,0.591916018,56.06212597
208,1.59,0.642135227,56.66465344
209,1.595,0.61355095,58.3874877
210,1.6,0.613569219,55.57402991
211,1.605,0.612968452,55.26530014
212,1.61,0.612957627,56.14834979
213,1.615,0.604256882,54.27740199
214,1.62,0.601080681,55.09119033
215,1.625,0.610875792,56.7264429
216,1.63,0.607523845,55.00118039
217,1.635,0.615475067,54.73409935
218,1.64,0.612350514,52.15647058
219,1.645,0.608046667,54.31085457
220,1.65,0.605117532,54.0378168
221,1.655,0.61054172,54.81362478
222,1.66,0.628342954,54.21964871
223,1.665,0.622056203,50.62729973
224,1.67,0.615069558,50.11479581
225,1.675,0.613269054,50.26573693
226,1.68,0.611893502,52.46841311
227,1.685,0.612841436,52.74902993
228,1.69,0.613468315,53.19610157
229,1.695,0.614308694,50.69215879
230,1.7,0.623839287,52.08576581
231,1.705,0.614580406,51.72930247
232,1.71,0.648560268,51.76182269
233,1.715,0.617310607,50.06925666
234,1.72,0.618953696,48.87381019
235,1.725,0.608857261,48.29613323
236,1.73,0.626279864,49.72104411
237,1.735,0.618918553,49.51033287
238,1.74,0.619811707,48.28303816
239,1.745,0.621081253,48.59810572
240,1.75,0.61560569,45.9095766
241,1.755,0.621610481,47.31435784
242,1.76,0.621945516,48.50437354
243,1.765,0.633735238,45.15947726
244,1.77,0.620083993,48.18236606
245,1.775,0.624973028,44.7696641
246,1.78,0.622552775,44.69437922
247,1.785,0.612765757,47.72192312
248,1.79,0.617073027,46.63555351
249,1.795,0.62364616,47.85030013
250,1.8,0.624767289,46.76837614
251,1.805,0.620327743,46.70654253
252,1.81,0.655636035,45.02254047
253,1.815,0.617640957,61.5961195
254,1.82,0.625493336,44.18124736
255,1.825,0.62872036,45.79374676
256,1.83,0.641134591,42.11202913
257,1.835,0.625442454,44.20009124
258,1.84,0.624166409,44.6863034
259,1.845,0.616591256,45.69732157
260,1.85,0.628679481,45.57544219
261,1.855,0.622486466,44.39534705
262,1.86,0.62182047,44.7003704
263,1.865,0.624126088,46.18889913
264,1.87,0.630354637,44.96144342
265,1.875,0.624901197,43.5378632
266,1.88,0.628027798,41.83136854
267,1.885,0.616053005,38.13063464
268,1.89,0.621127281,42.36073416
269,1.895,0.624814279,43.02274413
270,1.9,0.630636299,42.43495551
271,1.905,0.636458218,40.81637056
272,1.91,0.630217679,44.39750592
273,1.915,0.635479876,41.3183097
274,1.92,0.624430348,43.43110793
275,1.925,0.62670452,41.923404
276,1.93,0.641106752,41.02107756
277,1.935,0.633622129,41.59770252
278,1.94,0.622707145,43.54879336
279,1.945,0.629918401,42.10318047
280,1.95,0.629372907,36.84475707
281,1.955,0.637742191,39.32523239
282,1.96,0.623367823,39.00866868
283,1.965,0.642229462,38.21288839
284,1.97,0.628865667,38.04566002
285,1.975,0.633788223,39.52192114
286,1.98,0.634465316,38.84897415
287,1.985,0.630314121,41.9929583
288,1.99,0.630406658,39.11878533
289,1.995,0.630826853,36.86495092
290,2,0.633473661,40.83191449
291,2.005,0.633466766,40.13308502
292,2.01,0.633492795,39.10632441
293,2.015,0.631379731,39.74295837
294,2.02,0.634900807,40.35924693
295,2.025,0.636386118,38.533331
296,2.03,0.633701656,37.78378593
297,2.035,0.63822123,35.18377784
298,2.04,0.635862178,36.12458742
299,2.045,0.623993548,41.1914164
300,2.05,0.626268184,37.8479357
301,2.055,0.6330606,37.0367777
302,2.06,0.633115731,39.39735987
303,2.065,0.632348343,37.48336846
304,2.07,0.624348386,38.53062514
305,2.075,0.636585936,35.18172691
306,2.08,0.627630481,38.85922079
307,2.085,0.634924997,34.9230211
308,2.09,0.630673478,36.52821983
309,2.095,0.62674494,26.81318177
310,2.1,0.640473671,35.92439145
311,2.105,0.634782919,34.98019772
312,2.11,0.62812682,39.42713599
313,2.115,0.629659101,37.50230982
314,2.12,0.628671794,37.26979709
315,2.125,0.627116135,51.92907474
316,2.13,0.63327428,37.40900353
317,2.135,0.627400809,31.85204861
318,2.14,0.631325053,38.17444225
319,2.145,0.631524365,32.9245778
320,2.15,0.642930357,33.30417305
321,2.155,0.632236402,35.43872227
322,2.16,0.634368744,32.1282228
323,2.165,0.63612339,30.67433081
324,2.17,0.630605482,35.8944397
325,2.175,0.633511535,39.5127069
326,2.18,0.635035564,36.13853966
327,2.185,0.6391828,31.98498284
328,2.19,0.630626559,36.57778232
329,2.195,0.626809795,34.10139533
330,2.2,0.635107648,37.54438673
331,2.205,0.627816512,39.0334652
332,2.21,0.642382213,33.19477313
333,2.215,0.638923276,35.77683694
334,2.22,0.640340323,35.57505447
335,2.225,0.635312658,39.04032632
336,2.23,0.635191631,32.84282338
337,2.235,0.631699799,35.7015951
338,2.24,0.636646212,33.0870799
339,2.245,0.643540469,35.46679941
340,2.25,0.630597735,34.78431608
341,2.255,0.631125907,32.99844324
342,2.26,0.636307995,32.1557111
343,2.265,0.634797928,32.10508521
344,2.27,0.636060479,32.00944581
345,2.275,0.635457935,29.30330199
346,2.28,0.635487222,31.12704854
347,2.285,0.637099384,35.07827979
348,2.29,0.638520521,34.68851365
349,2.295,0.63736259,30.12715994
350,2.3,0.631257502,42.69489031
351,2.305,0.633987594,32.80208406
352,2.31,0.643480381,35.3843786
353,2.315,0.631023366,13.18382373
354,2.32,0.646802154,35.57782098
355,2.325,0.634544281,27.63596684
356,2.33,0.639120378,32.8761655
357,2.335,0.636867761,34.65389566
358,2.34,0.63376322,23.31056559
359,2.345,0.634541961,30.88187472
360,2.35,0.642009078,33.6556388
361,2.355,0.640305994,34.76149209
362,2.36,0.650795207,30.95166158
363,2.365,0.642056753,35.92590592
364,2.37,0.642870769,36.21116186
365,2.375,0.648803924,32.12994291
366,2.38,0.6512932,35.24951878
367,2.385,0.64249881,34.01356177
368,2.39,0.638236051,26.76470175
369,2.395,0.661146141,30.58366987
370,2.4,0.650453916,28.68775174
371,2.405,0.650826835,33.38253983
372,2.41,0.65185545,33.87150366
373,2.415,0.645246774,33.18980672
374,2.42,0.646148254,11.48180844
375,2.425,0.658740559,31.06296991
376,2.43,0.67106715,29.6469048
377,2.435,0.653812004,34.91191866
378,2.44,0.654934599,16.86609928
379,2.445,0.646921961,34.15919346
380,2.45,0.65556065,32.29011905
381,2.455,0.660800806,32.32161558
382,2.46,0.650623827,32.31824795
383,2.465,0.654196364,30.77312849
384,2.47,0.650446519,34.43010725
385,2.475,0.663934071,34.43309269
386,2.48,0.643422063,34.63884644
387,2.485,0.655974764,31.62470088
388,2.49,0.648885836,37.05962472
389,2.495,0.654244856,22.9656905
390,2.5,0.653989445,27.30013828
391,2.505,0.659935841,24.56890808
392,2.51,0.653932884,28.94391331
393,2.515,0.650479561,35.12251547
394,2.52,0.662957562,33.2850468
395,2.525,0.654579311,8.572797816
396,2.53,0.657194413,25.22728356
397,2.535,0.67184208,28.58215869
398,2.54,0.650048529,22.04211973
399,2.545,0.664415257,32.74575802
400,2.55,0.64591823,36.93030288
401,2.555,0.653229803,31.01921344
